title,score,id,url,comms_num,created,body,timestamp
"TIL There is a Japanese art for called Dorodango, which is where earth and water are moulded and polished to make very shiny balls",70,bftl1z,https://en.wikipedia.org/wiki/Dorodango,8,1555880501,,4/21/2019 16:01
"TIL that the US reached peak coal mining employment in 1923, when there were 883,000 coal miners employed in the US. Today, there are only 50,000 coal miners in the US. Nevertheless, the US produces about 50% more coal than it did 100 years ago.",1828,bfkirt,https://en.wikipedia.org/wiki/Coal_mining_in_the_United_States,124,1555816189,,4/20/2019 22:09
TIL that 31 prisoners in a prison in Uganda escaped because the guards were busy trying to catch a rabbit. The rabbit evaded capture.,123,bfrjmf,http://news.bbc.co.uk/1/hi/world/africa/2006481.stm,9,1555869258,,4/21/2019 12:54
TIL that China has launched and successfully recovered satellites with wooden heat shields,43,bfv705,https://en.wikipedia.org/wiki/Fanhui_Shi_Weixing,3,1555889846,,4/21/2019 18:37
"TIL legendary musician Prince passed away leaving no will detailing how to distribute his multi-million dollar estate. Within 3 weeks of his death, more than 700 people claimed to be his half-sibling or descendant.",8779,bfgjpu,https://en.wikipedia.org/wiki/Prince_(musician)#Illness_and_death,248,1555791268,,4/20/2019 15:14
"TIL hydropower comprises nearly 100% of electricity production in Paraguay, and 90% of energy generated is exported mainly to Brazil and Argentina.",82,bfs8d3,https://en.wikipedia.org/wiki/Electricity_sector_in_Paraguay,8,1555872996,,4/21/2019 13:56
"TIL that the main producer behind The Legend of Zelda CD-i games, Dale DeSharone, also owned Boston Animation, the company behind the educational kids' game M&Ms The Lost Formulas.",10,bfyfco,http://blog.hardcoregaming101.net/2012/09/dale-desharone-unspoken-legend.html,0,1555911188,,4/22/2019 0:33
TIL Movie theatre popcorn is sold at a 1275% markup,29643,bff6ox,https://www.rd.com/advice/saving-money/10-outrageous-markups-youd-never-guess-you-were-paying/,1286,1555783725,,4/20/2019 13:08
TIL Simon Bolivar decreed that permitted any atrocities committed against people born in Spain that weren't actively working with the revolutionaries,0,bg5l4c,https://en.wikipedia.org/wiki/Decree_of_War_to_the_Death,10,1555957956,,4/22/2019 13:32
"TIL Ernst & Young (EY), setup in 1989 through a merger, has its roots under 2 individuals - Arthur Young & Alwin C. Ernst. They never met and both passed away within days of each other in 1948.Today, EY has over 231,000 employees globally.",11,bfygd5,https://www.ey.com/us/en/about-us/our-people-and-culture/our-history,0,1555911434,,4/22/2019 0:37
TIL that the Antarctic Point of Inaccessibility has a Lenin Bust that has survived 50 years without any maintenance,39,bfufoe,https://en.wikipedia.org/wiki/Pole_of_Inaccessibility_(Antarctic_research_station),2,1555885320,,4/21/2019 17:22
"TIL, in 2018 the Sagrada Familia Church agreed to pay Barcelona $41M as fine for lacking a building permit for 136 Years",2441,bfipyd,http://time.com/5429231/barcelona-sagrada-familia-building-permit/,117,1555804322,,4/20/2019 18:52
"TIL The first federally funded US-Mexico border fence went up in 1911. But it wasn't built to keep people out. Instead, it was meant to stop tick-infested cattle from wandering into the U.S.",100,bfqzcm,https://theweek.com/articles/820973/history-southern-border,3,1555866215,,4/21/2019 12:03
"TIL about Eddie Gaedel, the smallest person to ever play in the Major Leagues. His jersey number was 1/8.",63,bfskn6,https://wikipedia.org/wiki/Eddie_Gaedel,9,1555874867,,4/21/2019 14:27
"TIL Hitler in his teenage years was attracted to a girl named Stefanie Isak, a girl who's believed to have Jewish origins.",74,bfs0av,https://en.wikipedia.org/wiki/Adolf_Hitler_and_Stefanie_Rabatsch,34,1555871761,,4/21/2019 13:36
"TIL Inner verbalization of the mind is accompanied by tiny muscular movements in the larynx. Neuroscientists have also found that an area within the left inferior frontal gyrus, known as Broca’s area, is active when we speak out loud and also during inner speech.",68,bfs4ow,https://thebrainbank.scienceblog.com/2015/10/10/whats-going-on-in-your-head-the-science-behind-our-inner-voice/,10,1555872437,,4/21/2019 13:47
"TIL of the Free Little Library organization. Comprised of over 80,000 locations in 91 countries, this service allows any individual or organization to set up a public book sharing station where community members can freely give or take books.",52,bft25u,https://littlefreelibrary.org/about/,7,1555877577,,4/21/2019 15:12
TIL at the end of the Diamond Sūtra - the oldest surviving dated printed book - is a note that the creator was told to copy out the book by his parents,292,bfnmtd,https://wiganlanebooks.co.uk/blog/interesting/10-of-the-oldest-known-surviving-books-in-the-world/,9,1555843929,,4/21/2019 5:52
"TIL that insects don't have lungs. They just kinda absorb oxygen and it is related to their size, i.e. why bugs got so big when the Earth had more oxygen.",2806,bfhtjp,https://askabiologist.asu.edu/how-insects-breathe,124,1555798676,,4/20/2019 17:17
"TIL Peppa Pig was endorsed by the People's Liberation Army and Chinese weapons manufacturer Norinco, who have performed military formations composing of soldiers and tanks in the shape of the cartoon's signature character.",58,bfs4n6,https://www.scmp.com/news/china/society/article/2185004/lunar-new-year-puts-seal-peppa-pigs-chinese-comeback,14,1555872429,,4/21/2019 13:47
"TIL the BBC wanted to broadcast Band of Brothers so much that not only did they spend £7 million on securing broadcast rights, but PM Blair personally oversaw the deal and supervised negotiations with Steven Spielberg",242,bfnl99,https://en.wikipedia.org/wiki/Band_of_Brothers_(miniseries)#Budget_and_promotion,19,1555843526,,4/21/2019 5:45
"TIL Queens song 39, while at first seeming about soldiers going to war, is actually about astronauts on an Interstellar Voyage returning to a far future Earth due to relativistic time-dilation",138,bfp0ot,https://www.physicsforums.com/threads/queens-song-39-the-only-pop-song-about-relativity.539181/,12,1555854793,,4/21/2019 8:53
